"id1","id2","lat","lon","el"
"STE","NBM",59.875,-138.875,980.806640625
"STE","NBM",59.875,-138.375,1048.10643005371
"STE","NBM",59.875,-137.875,1081.27560424805
"STE","NBM",59.875,-137.375,1180.76028442383
"YSH","NBM",59.875,-136.875,1221.59796142578
"YSH","NBM",59.875,-136.375,1301.76254272461
"YSH","NBM",59.875,-135.875,1409.92291259766
"YSH","NBM",59.875,-135.375,1385.337890625
"YSH","NBM",59.875,-134.875,1221.41482543945
"BMP","NBM",59.875,-134.375,1004.31578063965
"BMP","NBM",59.875,-133.875,983.324661254883
"BMP","NBM",59.875,-133.375,1129.78179931641
"YSL","NBM",59.875,-132.875,1096.47528076172
"YSL","NBM",59.875,-132.375,951.322906494141
"YSL","NBM",59.875,-131.875,1075.09501647949
"PEM","NBM",59.875,-131.375,1268.20419311523
"PEM","NBM",59.875,-130.875,1342.96649169922
"PEM","NBM",59.875,-130.375,1313.27670288086
"PEM","NBM",59.875,-129.875,1156.58729553223
"LIB","NBM",59.875,-129.375,908.653945922852
"LIB","NBM",59.875,-128.875,769.430358886719
"LIB","NBM",59.875,-128.375,777.030181884766
"LIB","NBM",59.875,-127.875,744.31883239746
"LIB","NBM",59.875,-127.375,770.918289184571
"LIB","NBM",59.875,-126.875,797.952667236328
"LIB","NBM",59.875,-126.375,854.081604003906
"HHI","NBM",59.875,-125.875,1051.81475830078
"HHI","NBM",59.875,-125.375,1035.79103088379
"MPL","TAP",59.875,-124.875,780.349395751953
"MPL","TAP",59.875,-124.375,524.839111328125
"MPL","TAP",59.875,-123.875,406.309089660645
"NUP","TAP",59.875,-123.375,435.724128723143
"NUP","TAP",59.875,-122.875,468.02345275879
"NUP","TAP",59.875,-122.375,472.73900604248
"NUP","TAP",59.875,-121.875,486.771255493164
"NUP","TAP",59.875,-121.375,509.868354797362
"NUP","TAP",59.875,-120.875,531.24861907959
"NUP","TAP",59.875,-120.375,522.572906494141
"STE","NBM",59.375,-137.875,843.872177124024
"STE","NBM",59.375,-137.375,1246.96127319337
"STE","NBM",59.375,-136.875,1244.64926147461
"STE","NBM",59.375,-136.375,1054.51593017577
"BOU","COM",59.375,-134.875,1263.44287109375
"YSH","NBM",59.375,-134.375,1334.61123657227
"BMP","NBM",59.375,-133.875,1070.42524719239
"BMP","NBM",59.375,-133.375,1128.24810791015
"BMP","NBM",59.375,-132.875,1214.63906860351
"BMP","NBM",59.375,-132.375,1072.21073913574
"YSL","NBM",59.375,-131.875,1074.06491088867
"PEM","NBM",59.375,-131.375,1248.26605224609
"PEM","NBM",59.375,-130.875,1368.85629272461
"PEM","NBM",59.375,-130.375,1431.82968139648
"BMP","NBM",59.375,-129.875,1373.11404418945
"BMP","NBM",59.375,-129.375,1175.38082885742
