"Year","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","Tave_wt","Tave_sp","Tave_sm","Tave_at"
"1880",-9.76999950408936,-2.84999990463257,-5.75,-6,NA,-1.8199999332428,-0.539999961853027,-2.55999994277954,-0.649999976158142,-0.0999999940395355,-0.399999976158142,NA,NA,NA,-1.63999994595846,-0.38333331545194
"1881",-6.01999998092651,-5.51999998092651,3.99000000953674,0.179999992251396,NA,-1.69999992847443,-2.57999992370605,-2.59999990463257,-1.62000000476837,-6.23000001907349,-2.92999982833862,NA,NA,NA,-2.29333325227102,-3.59333328406016
"1882",NA,-2.11999988555908,-6.09999990463257,-2.5,NA,-0.969999969005585,-1.73000001907349,-0.829999983310699,-0.709999978542328,-2.71000003814697,NA,NA,NA,NA,-1.17666665712992,NA
"1883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1884",NA,NA,0.680000007152557,-0.0599999986588955,NA,-2.05999994277954,0.629999995231628,2.8899998664856,NA,NA,NA,NA,NA,NA,0.486666639645894,NA
"1885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1886",-8.76999950408936,-1.84999990463257,-1.87999999523163,-0.0799999982118607,NA,-0.639999985694885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88999998569489,-3.52999997138977,NA,NA,NA,NA,NA
"1894",-5.98999977111816,-1.27999997138977,NA,-5.19000005722046,-0.0599999986588955,-0.219999998807907,NA,NA,NA,0.209999993443489,-2.80999994277954,0.0199999995529652,NA,NA,NA,NA
"1895",-2.64927942487929,-0.376965264024006,1.10315449502733,2.85229855113559,0.0456684036387338,-0.0118732552044094,0.0295920207307467,-0.776493031034867,-2.19632460245242,0.406989569796456,0.194338548514578,2.0699999332428,-1.00208156311678,1.33370714993389,-0.25292475516951,-0.531665494713794
"1896",-4.29582109981113,1.14256941195991,-1.93568397694164,-2.40841488838196,-0.456490443447708,-0.150627598332034,0.249552944675088,0.22294096688533,0.278145825686968,-0.0739227414752046,-2.26021000328991,0.138497397303581,-0.361083918202806,-1.6001964362571,0.107288771076128,-0.685328973026049
"1897",1.11987235248089,-0.576185752948125,-5.63570293850369,-1.47581332259708,-2.99815355936686,0.0697309058573511,-0.882867167393366,0.179421871072716,-2.71005290349325,-4.47486359013451,-4.00063531663683,0.468725677000152,0.227394665612115,-3.36988994015588,-0.211238130154433,-3.7285172700882
"1898",4.62049118677775,-6.33805108467738,0.682539915376239,5.51409272087945,1.7337074322833,-1.54996525512801,-1.75132722920842,0.0384904558356437,0.951538166734907,-4.1172655026118,-8.62299291292826,1.95542095767127,-0.416278073633158,2.64344668951299,-1.08760067616693,-3.92957341626838
"1899",-0.193255229128732,-8.36026977698008,-6.37938788202074,-1.70397998227013,-5.25989659627279,-1.72880118158129,-0.818465243052277,-2.18907894558377,-0.560091129276488,-4.3808072037167,2.09924908743964,-1.74872650967704,-2.19936801614585,-4.44775482018789,-1.57878179007244,-0.947216415184515
"1900",-3.26418045626746,-6.69144862492879,-2.79765274259779,2.66028554472658,-0.911609362065792,0.383416656984223,-1.8553333123525,-1.25606941647,0.326363700297144,-2.45484714772966,-3.83887056774563,-0.664875001543098,-3.90145186362443,-0.349658853312333,-0.909328690612758,-1.98911800505938
"1901",-0.963907087558053,-1.25703816943698,2.34750168191062,-1.54001557872527,-1.70739750266075,-1.44999992847443,-0.459999978542328,-0.725251727634006,-0.855722213453717,1.77533416218228,-6.23523861832089,0.862205706723034,-0.961940086179378,-0.299970466491801,-0.878417211550253,-1.77187555653078
"1902",-0.213275167966882,4.08889487584432,-5.82853368123372,-2.61851731141408,-2.27823170820872,-3.48024213578966,-1.9223853720559,-0.841878452565935,-1.44097567068206,1.74022565285365,-5.23089316421085,-4.15602771706051,1.57927513820016,-3.57509423361884,-2.08150198680383,-1.64388106067975
"1903",4.27941488623619,2.78453986909654,-3.40712487432692,-1.31837496293916,-4.68197731706831,0.216576384191608,-0.440556411610709,0.681980018234915,-2.14890099101596,-3.59719350006845,0.0218975690503915,4.45081587913964,0.969309012757407,-3.13582571811146,0.152666663605271,-1.90806564067801
"1904",-2.35269615418381,-8.95770890977647,-2.84571348428726,5.55090349515279,-1.66844701766968,-1.58554337819417,-0.187854163265891,-0.229647562404474,-0.567942694740163,1.89461976157294,5.44310401280721,3.00634020103349,-2.28652972827355,0.345580997731951,-0.667681701288179,2.25659369321333
"1905",1.60174303452174,1.47526126081745,-0.902291679713461,1.39801992442873,1.64607807795207,0.617067687068548,-0.723933141099082,0.202907111319817,-0.811494767997,-2.27109110620287,2.68383847872416,2.85749295080702,2.02778149879089,0.713935440889111,0.0320138857630944,-0.132915798491902
"1906",0.373782983753416,-1.89209891822603,0.905350681145986,3.42596521377563,2.22932634353638,-0.391168395264281,2.30004507700602,-2.35009890794754,-0.608118037051625,1.87833850516213,1.27881247734961,-3.32870304849413,0.446392338778134,2.18688074615267,-0.147074075401933,0.849677648486707
"1907",-2.58051731454002,-4.24802247948117,-2.39503466818068,-4.1977186732822,-4.82689312431547,-1.94326037036048,-1.1308897389306,-1.99891053305732,-0.793429672055774,0.118333331081602,2.23147214783563,0.782965264045116,-3.38574761417177,-3.80654882192612,-1.69102021411613,0.518791935620485
"1908",3.28029070960151,1.55285412437386,-5.80429848564996,-2.15475516054365,-2.61733154455821,-2.42496957778931,-0.889919240276019,0.186535585257742,-1.55599911345376,-0.494324649539259,-3.11115267674128,-1.9514947520362,1.87203669934016,-3.52546173025061,-1.04278441093586,-1.7204921465781
"1909",-5.14532974561055,-6.14703989028931,-2.66817269863354,-5.09857187536028,-1.1785520500607,0.38104772919582,1.15897741808246,-1.35547565751606,2.04861715899573,-0.75967620909214,-6.66197551091512,1.18753296269311,-4.41462146264535,-2.9817655413515,0.0615164965874067,-1.79101152033718
"1910",1.31346091218293,-5.50142347547743,3.17222475475735,1.75998431841532,-2.27255115177896,-2.10757114357418,-0.54473174975978,-1.94799038569132,-0.158662322556807,0.457425343824757,-0.746436614336239,-0.744580730464723,-1.00014320020047,0.886552640464571,-1.53343109300843,-0.149224531022763
"1911",-7.09177588356866,0.84593053917504,1.17822740044859,-1.33066750731733,0.157959198041095,-0.476050329870648,0.232257810524768,-1.74941140678194,-1.0550833053059,2.24471001360152,-2.13046783076392,1.49532721837362,-2.33014202495278,0.00183969705745031,-0.664401308709273,-0.313613707489438
"1912",0.983582432733642,2.42163104216258,1.22836629994886,0.232247391839822,0.877493907345666,-0.415522555427419,-2.44094611803691,1.00015448497401,1.45573172999753,1.36505987246831,2.04205638037788,-1.06575171198282,1.63351356442328,0.77936919971145,-0.618771396163437,1.62094932761457
"1913",-6.68323512077332,-0.0241606007226639,-2.08397911389669,0.163651906367805,-0.749046856827206,0.0272092029452324,0.327832452994254,0.232775170449167,-1.15631853606966,-1.86859110196431,1.10076905753877,5.48366043302748,-2.59104914449293,-0.889791354785363,0.195938942129551,-0.6413801934984
"1914",2.02372828291522,-2.36709802945455,-0.941576369437906,0.152901907068574,-0.377862837496731,0.493566826979319,-1.14580467012193,0.783711794681019,0.253650170494802,2.60111453533173,0.280863717529509,-1.97259977989727,1.71343022882938,-0.388845766622021,0.0438246505128013,1.04520947445201
"1915",2.284796833992,0.261634552147653,3.8849677933587,7.69857189390394,0.0764704831254979,-1.3530494513611,0.407598945012109,2.49420307212406,-0.684214397271474,-2.66556329727173,-1.91279423236847,1.91637841992908,0.191277202080797,3.88667005679605,0.516250855258356,-1.75419064230389
"1916",-1.64342442154884,0.824827233950297,-4.66632800598939,3.29369784726037,0.691587653963102,0.930817680888706,-0.855388869841894,-1.03455639017953,1.29863192770216,-0.297687494723747,1.77275950113932,-4.90040870772468,0.365927077443511,-0.227014168255307,-0.319709193044239,0.924567978039246
"1917",-2.89643744892544,-3.09911103248596,-0.793092868394322,-1.72944526937273,-3.43964832888709,-3.11474905808767,-0.453755195273293,-0.566255196411577,1.8645103931427,-1.65470221969816,2.31762755778101,-11.0989797168308,-3.63198572971203,-1.98739548888471,-1.37825314992418,0.842478577075181
"1918",-0.327191831875179,-4.27966134283278,-5.12533407741123,-2.13252686543597,-4.4755406803555,-2.44554510381487,-2.32530377705892,-0.742442696293195,2.27062843905555,-2.16267270247142,0.0774366307382782,0.270901892748144,-5.23527763051291,-3.9111338744009,-1.83776385905566,0.0617974557741372
"1919",3.99124557342794,-4.95423865848117,-6.68766220940484,3.41350514358944,-1.70198348363241,-2.46388799349467,-0.266496523340336,1.48030900412963,2.43728467226028,-4.79197646776835,-4.41132802963257,0.365690965350303,-0.230697064101696,-1.6587135164826,-0.416691837568457,-2.25533994171355
"1920",0.337195307016373,6.91174556414286,-0.796655361685488,-2.92764143943787,-2.66243049303691,-2.24323867426978,1.79851993454827,-0.068100693811559,-0.378822039688627,-1.85964059697257,1.35184979968601,-2.68854160573747,2.53821061216985,-2.12890909805342,-0.17093981117769,-0.295537612325064
"1921",0.19364582883815,0.988685742020607,-3.07056328455607,2.8015146639612,0.196162325392167,1.10818052521596,0.541513014573785,1.32221091865665,-0.970338522394498,0.82755379875501,-2.75841834280226,2.55752859115601,-0.502070011626239,-0.0242954317342353,0.990634819482134,-0.967067688813916
"1922",1.72725257578616,-4.86349987983704,-3.52845043606228,-1.04465969892012,-1.81820915672514,-1.83269266287486,-0.117688364504526,0.0747968715615571,-0.520915788412094,-0.0135538176840378,0.310749991905565,0.286537311474482,-0.192906237631622,-2.13043976390251,-0.625194718605942,-0.0745732047301889
"1923",-0.313489578250382,0.274902774973048,-4.38146431710985,-0.931151023755471,-2.43145480950673,1.3096492767334,0.516381934574909,-0.422528632944967,2.5096293091774,3.9976266225179,4.58241568671332,-2.89853988380896,0.0826501693990495,-2.58135671679069,0.46783419278778,3.69655720613621
"1924",-1.36667531381051,1.48083067999946,4.79938875834147,-4.07401383717855,0.975891463955243,-1.46063451957371,0.473992173539268,-1.06674389441808,0.345480893055598,-0.507464402914047,-0.0703697901115649,-2.1039331111643,-0.928128172540002,0.567088795039389,-0.684462080150843,-0.0774510999900048
"1925",-5.36821340454949,-6.23131921556261,-2.68521261480119,2.84612318409814,0.964700512091319,2.12721694707871,-0.131914927479294,-0.189296866787804,2.30078468008174,-2.56863014433119,-1.08915623311186,5.52218729125129,-4.56782191042547,0.375203693796087,0.602001717603869,-0.452333899120438
"1926",8.89300856060452,4.8476248688168,5.1886638853285,1.60249646041128,0.472490447262923,-0.601353283723195,0.231865447857935,-0.195606766488507,-2.40091920958625,0.169255206733942,0.71926561514847,-1.32814494752222,6.4209402402242,2.4212169310009,-0.188364867451256,-0.504132795901279
"1927",1.75935672538148,-2.49299995369381,2.71566837098863,-2.71532025867038,-1.87652598751916,0.0936284706410434,1.09957463741302,1.8433879799313,-0.932295990652508,0.757087642099294,-6.62424725426568,-4.74323776563009,-0.687262725278183,-0.625392625066969,1.01219702932846,-2.26648520093963
"1928",5.59562137391832,5.23728805118137,-0.0405694336526924,-5.59395039346483,-0.0376710012658603,0.723301198085149,1.62447218630049,-2.3547647078832,0.170398428415259,-0.76360675079955,5.54858407974243,6.36986182530721,2.02989055315654,-1.89073027612779,-0.00233044116585342,1.65179191911938
"1929",0.247382796369493,-1.47644527430336,-1.25894615120358,-0.606438361108303,-0.799065951506297,-1.13730292121569,-0.336838533812099,0.327375857118103,0.289917528781936,4.53437840143839,2.37743138737149,-0.0633810777631071,1.71359978245778,-0.88815015460606,-0.38225519930323,2.40057577253061
"1930",6.37127762635549,-2.92709630661541,1.47943226231469,-0.0147725640899605,-0.847921850283941,-0.592248255676693,0.982947894972232,1.37878209749858,0.0818767327815294,-1.79147131178114,0.315842868056562,7.9268600569831,1.12693341399233,0.20557928264693,0.589827245598038,-0.464583903647683
"1931",5.90567694769965,6.95145906872219,-2.59881679217021,0.458735238595141,-1.95151819785436,-0.363469610363245,0.4968732536253,0.863526880409982,0.645951373212867,1.78885412812233,2.18622912367185,2.17540533542633,6.92799869113498,-1.36386658380981,0.332310174557346,1.54034487500235
