"Year","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Tave_wt","Tave_sp","Tave_sm","Tave_at"
1900,-0.96,-4.44,-3.6,-1.28,-1.17,-1.23,-1.91,-4.15,-1.84,-2.62,-2.11,2.93,-0.46,-4.75,-4.42,-1.01,-2.86,-3.55,-3.09,-3.57,-3.01,-2.56,-3.56,3.56,-0.46,0.05,-0.28,-0.33,0.38,-0.03,-0.18,0.03,-0.4,-0.36,-0.11,-0.41,-0.71,-4.6,-4.01,-1.15,-2.02,-2.39,-2.5,-3.86,-2.42,-2.59,-2.84,3.25,-0.82,-2.02,-2.43,-2.19,-0.55,-2.76,-3.4,-3.04,-0.27,-0.08,-0.06,-0.29,-0.69,-2.39,-2.92,-2.62
1901,-2.04,-1.97,1.04,-2.77,-1.07,-2.67,-2.06,-1.12,-2.45,2.59,1.29,2.11,-2.82,-4.07,0.26,-2.63,-2.96,-3.98,-4.13,-3.41,-3.81,-0.28,-0.31,2.14,-0.34,-0.44,-0.06,0.06,-0.06,-0.28,-0.34,-0.56,-0.53,-0.52,-0.03,0.13,-2.43,-3.02,0.65,-2.7,-2.01,-3.32,-3.1,-2.26,-3.13,1.15,0.49,2.12,-0.36,-0.93,-1.95,0.48,-1.11,-1.78,-3.84,-1.47,-0.4,-0.02,-0.39,-0.36,-0.73,-1.35,-2.89,-0.5
1902,-0.25,-0.02,-3.76,-1.36,-0.96,-1.84,-1.67,-1.29,-1.03,4.31,0.19,-1.43,-1.3,0.21,-3.96,-1.8,-0.85,-2.93,-3.46,-3.46,-3.04,-0.57,-3.5,-4.71,-0.34,-0.05,-0.24,-0.13,0.27,-0.26,0.04,0.2,-0.14,-0.56,-0.23,-0.16,-0.77,0.09,-3.86,-1.58,-0.9,-2.38,-2.56,-2.37,-2.03,1.87,-1.66,-3.07,0.61,-2.03,-1.6,1.16,0.35,-2.2,-3.28,-2.37,-0.09,-0.03,-0.01,-0.31,0.48,-2.11,-2.44,-0.61
1903,1.33,0.55,-4.7,-1.44,-0.64,2.34,-0.01,-1.85,-3.13,0.51,-0.82,3.79,-1.56,-1.51,-7.16,-2.61,-2.82,-1.22,-3,-2.44,-2.79,-0.81,-2.81,3.54,-0.29,-0.49,-0.28,0.25,0.54,0.04,-0.36,0.19,0.02,-0.1,-0.18,-0.33,-0.12,-0.48,-5.93,-2.03,-1.73,0.56,-1.51,-2.14,-2.96,-0.15,-1.81,3.67,0.15,-2.26,0.16,-1.15,-2.59,-4.2,-2.22,-2.14,-0.31,0.17,-0.04,-0.09,-1.22,-3.23,-1.03,-1.64
1904,-0.03,-7.47,-5.28,2.43,-0.81,-1.5,0.82,0.91,0.65,2.68,5.44,3.66,-2.12,-10.66,-9.08,-0.96,-3.33,-3.59,-4.27,-4.04,-2.52,-0.49,2.27,2.05,-0.3,0.16,-0.3,-0.28,-0.23,-0.06,-0.47,-0.65,0.19,-0.32,-0.11,0.25,-1.08,-9.07,-7.18,0.74,-2.07,-2.55,-1.73,-1.57,-0.93,1.1,3.86,2.85,-1.24,-1.22,0.08,2.92,-3.08,-4.46,-3.97,-0.25,-0.16,-0.27,-0.39,-0.08,-2.16,-2.84,-1.95,1.34
1905,-1.99,-2.48,3.27,1.01,2.39,2.27,3.14,-1.43,-0.84,-1.88,2.05,2.94,-3.34,-5.05,2.14,-0.68,-2,-1.87,-1.48,-2.71,-2.32,-2.99,0.85,2.25,-0.77,-0.29,-0.11,0.29,-0.27,-0.37,-0.74,0.37,-0.02,-0.39,-0.2,0.01,-2.67,-3.76,2.71,0.16,0.19,0.2,0.83,-2.07,-1.58,-2.44,1.45,2.6,-0.27,2.22,1.33,-0.22,-2.11,-0.18,-2.02,-1.49,-0.27,-0.03,-0.25,-0.2,-1.19,1.02,-0.35,-0.86
1906,-0.78,-0.17,-0.19,2,1.59,-0.44,4.19,0.35,-2,1.05,0.99,-2.85,-3.57,-1.35,-2.49,0.54,-0.15,-2.86,-1.28,-2.57,-1.51,1.01,0.18,-4.49,-0.32,-0.57,-0.91,0.04,-0.63,0.02,-0.42,-0.57,0.01,-0.03,0.21,0.29,-2.18,-0.76,-1.34,1.27,0.72,-1.65,1.46,-1.11,-1.76,1.03,0.59,-3.67,0.66,1.13,1.37,0.01,-0.89,-0.7,-2.24,-0.11,-0.29,-0.5,-0.32,0.06,-0.11,0.22,-0.43,-0.05
1907,-12.16,-3.03,-3.82,-1.55,1.46,-0.63,1.3,-2.76,-0.68,3.04,3.47,2.09,-15.39,-4.28,-6.33,-2.73,-1.81,-2.9,-2.08,-2.1,-2,-0.85,1.06,1.11,-0.57,0.06,-0.19,-0.11,-0.3,-0.22,-0.47,0.32,-0.23,-0.7,-0.19,-0.31,-13.77,-3.66,-5.08,-2.14,-0.17,-1.77,-0.39,-2.43,-1.34,1.09,2.26,1.6,-6.01,-1.3,-0.7,1.94,-8.05,-3.62,-2.36,-0.6,-0.07,-0.2,-0.12,-0.37,-7.03,-2.46,-1.53,0.67
1908,1.32,-1.65,-3.46,-2.05,-0.93,-0.43,-0.4,-1.48,-2.39,-1.43,2.22,0.03,-0.7,-2.71,-4.04,-1.27,-1.62,-1.81,-2.7,-3.01,-2.15,-2.72,0.7,-1.89,-0.59,0.14,0.65,-0.24,0.01,-0.09,-0.21,-0.25,0.36,-0.27,-0.04,-0.38,0.31,-2.18,-3.75,-1.66,-1.28,-1.12,-1.55,-2.25,-2.27,-2.07,1.46,-0.93,0.59,-2.15,-0.77,-0.53,-0.77,-2.31,-2.51,-1.39,-0.25,0.14,-0.18,0.02,-0.09,-2.23,-1.64,-0.96
1909,-10.47,-5.07,0.77,-2.91,-0.9,-0.58,-1.11,-3.55,-0.52,-0.77,-3.03,-3.88,-12.75,-5.73,0.92,-2.34,-2.29,-2.99,-2.31,-2.65,-0.24,0.05,-5.15,-5.35,-0.4,0.06,-0.33,-0.24,-0.32,-0.19,0.23,0.11,0.21,-0.08,-0.28,-0.61,-11.61,-5.4,0.85,-2.63,-1.59,-1.78,-1.71,-3.1,-0.38,-0.36,-4.09,-4.62,-5.17,-1.01,-1.75,-1.44,-6.79,-1.24,-2.65,-1.78,-0.24,-0.3,0.05,-0.05,-5.98,-1.12,-2.2,-1.61
