Model ID,Institutions,Country,Nominal Resolution,ClimateBC,ECS,Historical,ssp126,ssp245,ssp370,ssp585
ACCESS-ESM1-5,Commonwealth Scientific and Industrial Research Organisation,Australia,250 km,1,3.9,3,10,10,10,10
AWI-CM-1-1-MR,"Alfred Wegener Institute, Helmholtz Centre for Polar and Marine Research",Germany,100 km,,3.2,3,1,1,1,1
BCC-CSM2-MR,Beijing Climate Center,China,100 km,1,3.3,3,1,1,1,1
CanESM5,Canadian Centre for Climate Modelling and Analysis,Canada,500 km,1,5.6,10,10,10,10,10
CNRM-CM6-1,CNRM (Centre National de Recherches Meteorologiques) and CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique),France,250 km,,4.9,10,6,6,6,6
CNRM-ESM2-1,CNRM (Centre National de Recherches Meteorologiques) and CERFACS (Centre Europeen de Recherche et de Formation Avancee en Calcul Scientifique),France,250 km,1,4.8,11,5,5,5,5
EC-Earth3,EC-Earth Consortium,Europe,100 km,1,4.3,5,5,5,5,5
GFDL-ESM4,"National Oceanic and Atmospheric Administration, Geophysical Fluid Dynamics Laboratory",USA,100 km,1,2.7,3,1,3,1,1
GISS-E2-1-G,Goddard Institute for Space Studies,USA,250 km,1,2.7,4,4,4,4,4
HadGEM3-GC31-LL,Met Office Hadley Centre,UK,250 km,,5.6,4,1,1,,3
INM-CM5-0,Institute for Numerical Mathematics,Russia,100 km,1,1.9,9,1,1,5,1
IPSL-CM6A-LR,Institut Pierre Simon Laplace,France,250 km,1,4.6,9,5,6,9,5
MIROC-ES2L,"JAMSTEC (Japan Agency for Marine-Earth Science and Technology), AORI (Atmosphere and Ocean Research Institute), NIES (National Institute for Environmental Studies), and R-CCS (RIKEN Center for Computational Science)",Japan,500 km,,2.7,10,3,3,3,3
MIROC6,"JAMSTEC (Japan Agency for Marine-Earth Science and Technology), AORI (Atmosphere and Ocean Research Institute), NIES (National Institute for Environmental Studies), and R-CCS (RIKEN Center for Computational Science)",Japan,250 km,1,2.6,10,3,3,3,3
MPI-ESM1-2-HR,Max Planck Institute for Meteorology,Germany,100 km,1,3,8,2,2,10,1
MPI-ESM1-2-LR,Max Planck Institute for Meteorology,Germany,250 km,,3,10,10,10,10,10
MRI-ESM2-0,Meteorological Research Institute,Japan,100 km,1,3.1,5,1,5,1,1
NESM3,Nanjing University of Information Science and Technology,China,250 km,,4.8,5,2,2,,2
UKESM1-0-LL,Met Office Hadley Centre and Natural Environment Research Council,UK,250 km,1,5.4,9,5,5,5,5
