"Year","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","Tmax_wt","Tmax_sp","Tmax_sm","Tmax_at","Tmin_wt","Tmin_sp","Tmin_sm","Tmin_at","PPT_wt","PPT_sp","PPT_sm","PPT_at","Tave_wt","Tave_sp","Tave_sm","Tave_at"
1900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,-1.15,-1.22,3.28,3.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,-0.56,-0.2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,-1.75,-2.08,2.69,2.89,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,-0.46,NA,NA,NA,-0.53
1906,-2.55,-1.89,0.62,1.07,1.61,-0.3,2.68,-0.88,-1.73,1.38,1.4,-5.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.41,-0.6,-1.14,NA,-0.78,0.07,-0.23,-0.59,-0.25,-0.23,0.34,NA,-3.89,-1.62,-0.39,1.06,0.98,-1.7,0.1,-2.04,-1.6,1.29,1.02,-5.88,-0.14,1.27,0.67,0.37,NA,NA,NA,NA,-0.35,NA,-0.26,-0.01,-0.76,0.77,-1.06,0.28
1907,-12.67,-4.41,-4.85,-1.87,1.28,-1.07,0.8,-2.75,-0.74,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.69,0.22,-0.12,-0.17,-0.24,-0.35,-0.55,0.16,-0.41,NA,NA,NA,-14.05,-4.85,-6.43,-2.21,-0.44,-2.27,-0.88,-1.99,-1.56,0.92,NA,NA,-7.71,-1.65,-0.92,NA,NA,NA,NA,NA,NA,-0.21,-0.19,NA,-8.39,-3.08,-2.07,NA
1908,2.65,-0.99,-4.07,-2.11,-0.58,-0.51,-0.8,-2.13,-3.52,-3.24,1.86,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65,-0.15,0.99,-0.3,-0.28,-0.19,-0.42,-0.27,0.39,-0.25,-0.04,-0.41,1.89,-1.32,-4.33,-1.54,-1.08,-1.12,-1.96,-2.8,-2.6,-3.19,1,-0.81,NA,-2.26,-1.11,-1.66,NA,NA,NA,NA,NA,0.12,-0.17,0.06,NA,-2.27,-1.9,-1.69
1909,-14.07,-7.23,1.31,NA,-0.83,-1.29,-1.37,-3.64,-1.07,-1.97,-7.81,-5.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,-0.17,NA,NA,-0.35,-0.04,0.38,0.24,0.29,NA,NA,NA,-14.17,-7.15,1.61,NA,-1.53,-2.31,-1.88,-2.84,-0.58,-0.94,-7.04,-5.12,-6.76,NA,-2.2,-3.59,NA,NA,NA,NA,-0.38,NA,0.18,NA,-7.29,NA,-2.39,-2.83
